participant,psy_group,d_age_1,d_gender_1,d_gender_other,d_vr_experience_1,d_vis_impairment_1,d_vis_impairment_2,d_vis_impairment_3,d_vis_impairment_4,d_vis_impairment_5,d_vis_impairment_6,d_vis_impairment_other_6,walking_time_1,walking_score_1,joystick_time_1,joystick_score_1,j_clarity_1,j_difficulty_1,j_navigation_1,j_recall_time_1,j_strategy_1,w_clarity_1,w_difficulty_1,w_navigation_1,w_memory_time_1,w_strategy_1,p_q1_1,p_q2_1,p_q3_1,p_q4_1,p_q5_1,p_q6_1,p_q7_1,p_q8_1,p_q9_1,p_q10_1,p_q11_1,presence_overall_1,v_questions_1,v_questions_2,v_questions_3,v_questions_4,v_questions_5,v_questions_6,v_questions_7,v_questions_8,v_questions_9,v_questions_10,v_questions_11,v_questions_12,v_questions_13,v_questions_14,v_questions_15,CLIENT_start,TIME_start,TIME_end,TIME_total
s.d616ac1e-5644-45aa-ba61-1fd0c733f17b.txt,1,18,1,"",1,0,0,1,0,0,0,"",35.37,4,"","","","","","","",5,1,4,2,green blue green blue and their were only two shapes,6,3,3,6,6,7,7,7,6,7,7,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-11-22-06,2024-11-11-17-36,2024-11-11-17-48,12
s.51e35d64-a561-4e94-883b-96c5ce02bc41.txt,2,19,2,"",2,0,1,1,0,0,0,"","","",132.1,0,4,2,2,1,Since there are only 4 objects I just directly remembered the locations of the objects.,"","","","","",3,3,1,2,3,2,4,2,3,5,6,3.09,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2024-09-23-22-02,2024-10-23-18-32,2024-10-23-18-51,19
s.1c185725-b692-4fc9-8179-afec1f34fac4.txt,2,19,1,"",1,0,0,1,0,0,0,"","","",96.33,1,5,3,2,1,"","","","","","",5,4,5,4,4,6,6,4,5,5,5,4.82,1,1,2,1,2,0,3,1,1,2,1,2,3,0,0,2024-10-11-20-25,2024-11-11-15-55,2024-11-11-16-11,16
s.bae96e85-a65d-45d8-94b8-9a496f2aaf4f.txt,1,18,1,"",1,0,0,1,0,0,0,"",49.80,4,"","","","","","","",5,1,4,2,remembered the colour pattern and what shape that colour had,7,7,7,6,7,6,7,7,7,7,7,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-05-22-20,2024-11-05-17-50,2024-11-05-18-02,12
s.231f0bd4-ecb7-44dc-b517-9cbfac403e7b.txt,2,20,2,"",3,0,0,1,0,0,0,"","","",48.77,0,4,5,3,2,repetation,"","","","","",5,3,4,3,6,6,4,7,7,4,6,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-05-23-06,2024-11-05-18-36,2024-11-05-18-47,11
s.27b8d4a1-cea3-4329-8c87-9738353d3c73.txt,1,20,2,"",1,0,0,0,0,0,0,"","","",48.77,4,5,4,2,2,"Boxes were pretty sorted, all pyramids were on one side and, all blues too. So was easier","","","","","",7,6,4,5,7,7,6,7,7,7,6,6.27,2,0,0,0,0,0,1,2,0,0,0,0,0,2,0,2024-10-11-21-33,2024-11-11-17-03,2024-11-11-17-14,11
s.7bd794aa-37ed-41d2-8deb-c564d10f4ed2.txt,1,20,2,"",1,0,0,0,0,0,0,"",45.37,4,"","","","","","","",5,2,4,2,"Relative to centre of the room and the direction i am facing towards, I tried to memorise the positions of the objects. ALso, by taking multiple walks around the room, I tried to develop a cognitive map of where things are. One more thing I made use of was memorising the position of objects with respect to other objects - this helped in easier navigation.",6,6,5,5,7,7,5,6,5,6,6,5.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-23-22-25,2024-10-23-18-55,2024-10-23-19-10,15
s.e4a3bb10-0e97-4fbb-b252-46fa0b9cc692.txt,1,18,1,"",3,0,0,0,0,0,0,"",39.92,4,"","","","","","","",5,1,4,2,saw them 2-3 times to retain,7,6,7,5,7,4,6,5,7,7,7,6.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024-10-05-22-05,2024-11-05-17-35,2024-11-05-17-46,11
s.a2851a4e-2866-40dd-ab3d-9af1a6046456.txt,1,20,2,"",1,0,0,0,0,0,0,"",28.39,4,"","","","","","","",5,2,3,2,"Boxes were on the first row tables. Pyramids were on the bottom row. Red color was on the left side. There were only three colors, red , yellow and blue.",6,5,6,5,7,7,6,6,6,5,6,5.91,1,2,0,1,0,1,0,0,0,1,0,1,1,0,0,2024-10-05-21-19,2024-11-05-16-49,2024-11-05-17-02,13
s.3f8ba03b-ff76-40ea-971d-53f3ceb02931.txt,1,20,2,"",2,0,0,0,0,0,0,"",65.92,2,"","","","","","","",5,2,4,3,"I gave each table a position like top-right, bottom-right and memorized the object on that specific table. For example top-right red pyramid I could do this because there was an orientation marker given in the experiment",6,7,7,5,7,5,7,7,7,6,7,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-05-23-39,2024-11-05-19-09,2024-11-05-19-22,13
s.e44bc3fb-2d1c-4497-9c8e-a6130ccd4806.txt,2,18,2,"",2,0,0,0,1,0,0,"","","",107.3,2,4,3,4,2,i didt knew that i have to remember the places where the objects were placed.,"","","","","",7,2,5,4,7,5,6,7,7,6,6,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-23-21-26,2024-10-23-17-56,2024-10-23-18-10,14
s.32285bdb-151e-4e9b-8956-b1fa9566d091.txt,1,20,2,"",1,0,0,0,0,0,0,"",64.07,4,"","","","","","","",5,2,4,2,remembering the colour in order first then the shapes,6,7,6,7,7,6,7,7,7,6,6,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-24-22-40,2024-10-24-19-10,2024-10-24-19-24,14
s.09d5f8df-f35a-4133-b1d4-cf3958dc9b69.txt,1,18,1,"",1,0,0,1,0,0,0,"","","",46.05,1,5,2,2,1,"I didnt use a strategy, just tried to remember the object placements and move on to the next table relative to the starting screen.","","","","","",5,2,2,2,5,6,5,3,3,3,3,3.55,2,1,1,0,1,0,3,2,2,2,0,2,2,1,0,2024-10-11-20-48,2024-11-11-16-18,2024-11-11-16-29,11
s.d4c851ed-7d50-43a8-a4ce-442410ab0bb5.txt,1,20,1,"",1,0,0,1,0,0,0,"","","",84.12,0,5,2,2,1,didnt really use a specific strategy as this was my first time trying vr,"","","","","",6,4,4,2,7,6,5,2,3,2,2,3.91,2,0,1,1,0,0,0,1,1,1,0,1,0,0,0,2024-10-11-21-14,2024-11-11-16-44,2024-11-11-16-55,11
s.fcd386b6-ab9e-4c58-897b-06c180f66b72.txt,2,20,2,"",2,0,0,1,0,0,0,"","","",135.7,2,5,4,2,1,I used the color of object and its shape and I tried to memorise them based on the point of reference i.e my position,"","","","","",6,5,5,7,7,6,5,6,5,7,7,6.0,2,3,1,1,1,0,0,2,1,3,0,3,3,1,0,2024-09-23-20-17,2024-10-23-16-47,2024-10-23-17-02,15
s.0bf02812-4571-4384-b09f-a672e54a9d1a.txt,2,20,2,"",1,0,0,1,0,0,0,"","","",112.01,3,5,4,4,2,"With respect to the brown square on the wall, i remembered the orientations of the objects placed on each table.","","","","","",7,6,6,7,7,7,7,6,7,7,6,6.64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024-09-24-20-47,2024-10-24-17-17,2024-10-24-17-31,14
