participant,d_age,d_gender,d_vr_experience,d_vis_impairment,walking_condition,walking_time,walking_score,joystick_condition,joystick_time,joystick_score,joystick_feedback,j_clarity,j_difficulty,j_navigation,j_recall_time,j_strategy,walking_feedback,w_clarity,w_difficulty,w_navigation,w_memory_time,w_strategy,p_begin,p_q1,p_q2,p_q3,p_q4,p_q5,p_q6,p_q7,p_q8,p_q9,p_q10,p_q11,presence_overall,v_begin,v_questions,INFOSCREEN,CLIENT_start,TIME_start,TIME_end,TIME_total
s.d616ac1e-5644-45aa-ba61-1fd0c733f17b.txt,12959,12959,10286,11927,3515,468070,468070,"","","","","","","","","",63062,63062,63062,63062,63062,63062,121294,121294,121294,121294,121294,121294,121294,121294,121294,121294,121294,121294,"",43163,43163,0,2024-10-11-22-06,2024-11-11-17-36,2024-11-11-17-48,12,1
s.51e35d64-a561-4e94-883b-96c5ce02bc41.txt,14082,14082,14750,16670,"","","",73996,763408,763408,99347,99347,99347,99347,99347,99347,"","","","","","",129936,129936,129936,129936,129936,129936,129936,129936,129936,129936,129936,129936,"",50201,50201,0,2024-09-23-22-02,2024-10-23-18-32,2024-10-23-18-51,19,2
s.1c185725-b692-4fc9-8179-afec1f34fac4.txt,12225,12225,9560,11892,"","","",305236,307328,307328,103336,103336,103336,103336,103336,103336,"","","","","","",144336,144336,144336,144336,144336,144336,144336,144336,144336,144336,144336,144336,"",59253,59253,0,2024-10-11-20-25,2024-11-11-15-55,2024-11-11-16-11,16,2
s.bae96e85-a65d-45d8-94b8-9a496f2aaf4f.txt,16277,16277,7309,23338,18276,389399,389399,"","","","","","","","","",103168,103168,103168,103168,103168,103168,98520,98520,98520,98520,98520,98520,98520,98520,98520,98520,98520,98520,"",46157,46157,0,2024-10-05-22-20,2024-11-05-17-50,2024-11-05-18-02,12,1
s.231f0bd4-ecb7-44dc-b517-9cbfac403e7b.txt,8091,8091,12111,18103,"","","",426672,6870,6870,82824,82824,82824,82824,82824,82824,"","","","","","",83774,83774,83774,83774,83774,83774,83774,83774,83774,83774,83774,83774,"",30518,30518,0,2024-10-05-23-06,2024-11-05-18-36,2024-11-05-18-47,11,2
s.27b8d4a1-cea3-4329-8c87-9738353d3c73.txt,10577,10577,10599,6556,"","","",378475,7796,7796,105357,105357,105357,105357,105357,105357,"","","","","","",89028,89028,89028,89028,89028,89028,89028,89028,89028,89028,89028,89028,"",32619,32619,0,2024-10-11-21-33,2024-11-11-17-03,2024-11-11-17-14,11,1
s.7bd794aa-37ed-41d2-8deb-c564d10f4ed2.txt,12169,12169,7311,12330,551634,21223,21223,"","","","","","","","","",177085,177085,177085,177085,177085,177085,96442,96442,96442,96442,96442,96442,96442,96442,96442,96442,96442,96442,"",30721,30721,0,2024-09-23-22-25,2024-10-23-18-55,2024-10-23-19-10,15,1
s.e4a3bb10-0e97-4fbb-b252-46fa0b9cc692.txt,5411,5411,3064,2316,331671,150281,150281,"","","","","","","","","",80004,80004,80004,80004,80004,80004,86035,86035,86035,86035,86035,86035,86035,86035,86035,86035,86035,86035,"",27475,27475,0,2024-10-05-22-05,2024-11-05-17-35,2024-11-05-17-46,11,1
s.a2851a4e-2866-40dd-ab3d-9af1a6046456.txt,9460,9460,9393,31930,434747,26627,26627,"","","","","","","","","",112640,112640,112640,112640,112640,112640,86478,86478,86478,86478,86478,86478,86478,86478,86478,86478,86478,86478,"",48486,48486,0,2024-10-05-21-19,2024-11-05-16-49,2024-11-05-17-02,13,1
s.3f8ba03b-ff76-40ea-971d-53f3ceb02931.txt,13509,13509,7400,15978,371380,9040,9040,"","","","","","","","","",181118,181118,181118,181118,181118,181118,137514,137514,137514,137514,137514,137514,137514,137514,137514,137514,137514,137514,"",19988,19988,0,2024-10-05-23-39,2024-11-05-19-09,2024-11-05-19-22,13,1
