version: 3.4.6
server-time: 2024-10-23-19-28
client-time: 2024-09-23-22-58
user_agent: mozilla/5.0 (x11; linux x86_64; rv:131.0) gecko/20100101 firefox/131.0
screen_width: 1760
screen_height: 1100
html_width: 1760
html_height: 2451
user_time: 2024-09-23-22-58
T: 0
l: psy_group
stime: 2024-10-23-19-28
t: set
a: 1
l: d_age
stime: 2024-10-23-19-28
T: 18009
t: textline
a: 19
l: d_age
stime: 2024-10-23-19-28
T: 18009
t: textline
a: 19
l: d_gender
stime: 2024-10-23-19-28
T: 18009
t: radio
a: 2
l: d_vr_experience
stime: 2024-10-23-19-28
T: 4584
t: radio
a: 2
l: d_vis_impairment
stime: 2024-10-23-19-28
T: 4676
t: check
a: 
a: 
a: 
a: 
a: 
a: 
l: walking_condition
stime: 2024-10-23-19-35
T: 404544
t: info
l: walking_time
stime: 2024-10-23-19-35
T: 12773
t: textline
a: 50.43
l: walking_time
stime: 2024-10-23-19-35
T: 12773
t: textline
a: 50.43
l: walking_score
stime: 2024-10-23-19-35
T: 12773
t: textline
a: 4
l: walking_feedback
stime: 2024-10-23-19-37
T: 70230
t: info
l: walking_feedback
stime: 2024-10-23-19-37
T: 70230
t: info
l: w_clarity
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 5
l: walking_feedback
stime: 2024-10-23-19-37
T: 70230
t: info
l: w_clarity
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 5
l: w_difficulty
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 2
l: walking_feedback
stime: 2024-10-23-19-37
T: 70230
t: info
l: w_clarity
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 5
l: w_difficulty
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 2
l: w_navigation
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 4
l: walking_feedback
stime: 2024-10-23-19-37
T: 70230
t: info
l: w_clarity
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 5
l: w_difficulty
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 2
l: w_navigation
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 4
l: w_memory_time
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 2
l: walking_feedback
stime: 2024-10-23-19-37
T: 70230
t: info
l: w_clarity
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 5
l: w_difficulty
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 2
l: w_navigation
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 4
l: w_memory_time
stime: 2024-10-23-19-37
T: 70230
t: radio
a: 2
l: w_strategy
stime: 2024-10-23-19-37
T: 70230
t: textbox
a: The strategy was picking upon common stuff. For me same objects were place diagonally so i remembered the colors only
l: p_begin
stime: 2024-10-23-19-38
T: 62526
t: info
l: p_begin
stime: 2024-10-23-19-38
T: 62526
t: info
l: p_q1
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_begin
stime: 2024-10-23-19-38
T: 62526
t: info
l: p_q1
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-23-19-38
T: 62526
t: range
a: 4
s: 4
l: p_begin
stime: 2024-10-23-19-38
T: 62526
t: info
l: p_q1
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-23-19-38
T: 62526
t: range
a: 4
s: 4
l: p_q3
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_begin
stime: 2024-10-23-19-38
T: 62526
t: info
l: p_q1
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-23-19-38
T: 62526
t: range
a: 4
s: 4
l: p_q3
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q4
stime: 2024-10-23-19-38
T: 62526
t: range
a: 5
s: 5
l: p_begin
stime: 2024-10-23-19-38
T: 62526
t: info
l: p_q1
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-23-19-38
T: 62526
t: range
a: 4
s: 4
l: p_q3
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q4
stime: 2024-10-23-19-38
T: 62526
t: range
a: 5
s: 5
l: p_q5
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_begin
stime: 2024-10-23-19-38
T: 62526
t: info
l: p_q1
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-23-19-38
T: 62526
t: range
a: 4
s: 4
l: p_q3
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q4
stime: 2024-10-23-19-38
T: 62526
t: range
a: 5
s: 5
l: p_q5
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q6
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_begin
stime: 2024-10-23-19-38
T: 62526
t: info
l: p_q1
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-23-19-38
T: 62526
t: range
a: 4
s: 4
l: p_q3
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q4
stime: 2024-10-23-19-38
T: 62526
t: range
a: 5
s: 5
l: p_q5
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q6
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q7
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_begin
stime: 2024-10-23-19-38
T: 62526
t: info
l: p_q1
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-23-19-38
T: 62526
t: range
a: 4
s: 4
l: p_q3
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q4
stime: 2024-10-23-19-38
T: 62526
t: range
a: 5
s: 5
l: p_q5
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q6
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q7
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q8
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_begin
stime: 2024-10-23-19-38
T: 62526
t: info
l: p_q1
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-23-19-38
T: 62526
t: range
a: 4
s: 4
l: p_q3
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q4
stime: 2024-10-23-19-38
T: 62526
t: range
a: 5
s: 5
l: p_q5
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q6
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q7
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q8
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q9
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_begin
stime: 2024-10-23-19-38
T: 62526
t: info
l: p_q1
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-23-19-38
T: 62526
t: range
a: 4
s: 4
l: p_q3
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q4
stime: 2024-10-23-19-38
T: 62526
t: range
a: 5
s: 5
l: p_q5
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q6
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q7
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q8
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q9
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q10
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_begin
stime: 2024-10-23-19-38
T: 62526
t: info
l: p_q1
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-23-19-38
T: 62526
t: range
a: 4
s: 4
l: p_q3
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q4
stime: 2024-10-23-19-38
T: 62526
t: range
a: 5
s: 5
l: p_q5
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q6
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q7
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q8
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q9
stime: 2024-10-23-19-38
T: 62526
t: range
a: 7
s: 7
l: p_q10
stime: 2024-10-23-19-38
T: 62526
t: range
a: 6
s: 6
l: p_q11
stime: 2024-10-23-19-38
T: 62526
t: range
a: 5
s: 5
l: presence_overall
stime: 2024-10-23-19-38
t: set
a: 6.09
l: v_begin
stime: 2024-10-23-19-38
T: 20986
t: info
l: v_begin
stime: 2024-10-23-19-38
T: 20986
t: info
l: v_questions
stime: 2024-10-23-19-38
T: 20986
t: scale
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
a: 1
s: 0
endcode: 
end 2024-10-23-19-38
