version: 3.4.6
server-time: 2024-11-05-16-49
client-time: 2024-10-05-21-19
user_agent: mozilla/5.0 (x11; ubuntu; linux x86_64; rv:131.0) gecko/20100101 firefox/131.0
screen_width: 1920
screen_height: 1080
html_width: 1920
html_height: 2494
user_time: 2024-10-05-21-19
T: 0
l: psy_group
stime: 2024-11-05-16-49
t: set
a: 1
l: d_age
stime: 2024-11-05-16-49
T: 9460
t: textline
a: 20
l: d_age
stime: 2024-11-05-16-49
T: 9460
t: textline
a: 20
l: d_gender
stime: 2024-11-05-16-49
T: 9460
t: radio
a: 2
l: d_vr_experience
stime: 2024-11-05-16-49
T: 9393
t: radio
a: 1
l: d_vis_impairment
stime: 2024-11-05-16-50
T: 31930
t: check
a: 
a: 
a: 
a: 
a: 
a: 
l: walking_condition
stime: 2024-11-05-16-57
T: 434747
t: info
l: walking_time
stime: 2024-11-05-16-58
T: 26627
t: textline
a: 28.39
l: walking_time
stime: 2024-11-05-16-58
T: 26627
t: textline
a: 28.39
l: walking_score
stime: 2024-11-05-16-58
T: 26627
t: textline
a: 4
l: walking_feedback
stime: 2024-11-05-17-00
T: 112640
t: info
l: walking_feedback
stime: 2024-11-05-17-00
T: 112640
t: info
l: w_clarity
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 5
l: walking_feedback
stime: 2024-11-05-17-00
T: 112640
t: info
l: w_clarity
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 5
l: w_difficulty
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 2
l: walking_feedback
stime: 2024-11-05-17-00
T: 112640
t: info
l: w_clarity
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 5
l: w_difficulty
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 2
l: w_navigation
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 3
l: walking_feedback
stime: 2024-11-05-17-00
T: 112640
t: info
l: w_clarity
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 5
l: w_difficulty
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 2
l: w_navigation
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 3
l: w_memory_time
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 2
l: walking_feedback
stime: 2024-11-05-17-00
T: 112640
t: info
l: w_clarity
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 5
l: w_difficulty
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 2
l: w_navigation
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 3
l: w_memory_time
stime: 2024-11-05-17-00
T: 112640
t: radio
a: 2
l: w_strategy
stime: 2024-11-05-17-00
T: 112640
t: textbox
a: Boxes were on the first row tables. Pyramids were on the bottom row. Red color was on the left side. There were only three colors, red , yellow and blue.
l: p_begin
stime: 2024-11-05-17-01
T: 86478
t: info
l: p_begin
stime: 2024-11-05-17-01
T: 86478
t: info
l: p_q1
stime: 2024-11-05-17-01
T: 86478
t: range
a: 6
s: 6
l: p_begin
stime: 2024-11-05-17-01
T: 86478
t: info
l: p_q1
stime: 2024-11-05-17-01
T: 86478
t: range
a: 6
s: 6
l: p_q2
stime: 2024-11-05-17-01
T: 86478
t: range
a: 5
s: 5
l: p_begin
stime: 2024-11-05-17-01
T: 86478
t: info
l: p_q1
stime: 2024-11-05-17-01
T: 86478
t: range
a: 6
s: 6
l: p_q2
stime: 2024-11-05-17-01
T: 86478
t: range
a: 5
s: 5
l: p_q3
stime: 2024-11-05-17-01
T: 86478
t: range
a: 6
s: 6
l: p_begin
stime: 2024-11-05-17-01
T: 86478
t: info
l: p_q1
stime: 2024-11-05-17-01
T: 86478
t: range
a: 6
s: 6
l: p_q2
stime: 2024-11-05-17-01
T: 86478
t: range
a: 5
s: 5
l: p_q3
stime: 2024-11-05-17-01
T: 86478
t: range
a: 6
s: 6
l: p_q4
stime: 2024-11-05-17-01
T: 86478
t: range
a: 5
s: 5
l: p_begin
stime: 2024-11-05-17-01
T: 86478
t: info
l: p_q1
stime: 2024-11-05-17-01
T: 86478
t: range
a: 6
s: 6
l: p_q2
stime: 2024-11-05-17-01
T: 86478
t: range
a: 5
s: 5
l: p_q3
stime: 2024-11-05-17-01
T: 86478
t: range
a: 6
s: 6
l: p_q4
stime: 2024-11-05-17-01
T: 86478
t: range
a: 5
s: 5
l: p_q5
stime: 2024-11-05-17-01
T: 86478
t: range
a: 7
s: 7
l: p_begin
stime: 2024-11-05-17-01
T: 86478
t: info
l: p_q1
