version: 3.4.6
server-time: 2024-11-05-15-47
client-time: 2024-10-05-20-17
user_agent: mozilla/5.0 (x11; ubuntu; linux x86_64; rv:131.0) gecko/20100101 firefox/131.0
screen_width: 1920
screen_height: 1080
html_width: 1920
html_height: 2494
user_time: 2024-10-05-20-17
T: 0
l: psy_group
stime: 2024-11-05-15-47
t: set
a: 1
l: d_age
stime: 2024-11-05-15-47
T: 6073
t: textline
a: 20
l: d_age
stime: 2024-11-05-15-47
T: 6073
t: textline
a: 20
l: d_gender
stime: 2024-11-05-15-47
T: 6073
t: radio
a: 2
l: d_vr_experience
stime: 2024-11-05-15-47
T: 2949
t: radio
a: 1
l: d_vis_impairment
stime: 2024-11-05-15-47
T: 2762
t: check
a: 
a: 
a: 
a: 
a: 
a: 
l: walking_condition
stime: 2024-11-05-15-53
T: 363199
t: info
l: walking_time
stime: 2024-11-05-15-53
T: 10080
t: textline
a: 46.03
l: walking_time
stime: 2024-11-05-15-53
T: 10080
t: textline
a: 46.03
l: walking_score
stime: 2024-11-05-15-53
T: 10080
t: textline
a: 4
l: walking_feedback
stime: 2024-11-05-15-55
T: 73344
t: info
l: walking_feedback
stime: 2024-11-05-15-55
T: 73344
t: info
l: w_clarity
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 5
l: walking_feedback
stime: 2024-11-05-15-55
T: 73344
t: info
l: w_clarity
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 5
l: w_difficulty
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 1
l: walking_feedback
stime: 2024-11-05-15-55
T: 73344
t: info
l: w_clarity
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 5
l: w_difficulty
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 1
l: w_navigation
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 4
l: walking_feedback
stime: 2024-11-05-15-55
T: 73344
t: info
l: w_clarity
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 5
l: w_difficulty
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 1
l: w_navigation
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 4
l: w_memory_time
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 3
l: walking_feedback
stime: 2024-11-05-15-55
T: 73344
t: info
l: w_clarity
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 5
l: w_difficulty
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 1
l: w_navigation
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 4
l: w_memory_time
stime: 2024-11-05-15-55
T: 73344
t: radio
a: 3
l: w_strategy
stime: 2024-11-05-15-55
T: 73344
t: textbox
a: i remembered the order of the objects and tried to know the start point.
l: p_begin
stime: 2024-11-05-15-56
T: 79507
t: info
l: p_begin
stime: 2024-11-05-15-56
T: 79507
t: info
l: p_q1
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_begin
stime: 2024-11-05-15-56
T: 79507
t: info
l: p_q1
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q2
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_begin
stime: 2024-11-05-15-56
T: 79507
t: info
l: p_q1
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q2
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q3
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_begin
stime: 2024-11-05-15-56
T: 79507
t: info
l: p_q1
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q2
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q3
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q4
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_begin
stime: 2024-11-05-15-56
T: 79507
t: info
l: p_q1
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q2
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q3
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q4
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q5
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_begin
stime: 2024-11-05-15-56
T: 79507
t: info
l: p_q1
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q2
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q3
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q4
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q5
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_q6
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
s: 6
l: p_begin
stime: 2024-11-05-15-56
T: 79507
t: info
l: p_q1
stime: 2024-11-05-15-56
T: 79507
t: range
a: 6
