version: 3.4.6
server-time: 2024-10-24-18-22
client-time: 2024-09-24-21-52
user_agent: mozilla/5.0 (x11; linux x86_64; rv:131.0) gecko/20100101 firefox/131.0
screen_width: 1440
screen_height: 900
html_width: 1440
html_height: 2476
user_time: 2024-09-24-21-52
T: 0
l: psy_group
stime: 2024-10-24-18-22
t: set
a: 2
l: d_age
stime: 2024-10-24-18-23
T: 7083
t: textline
a: 20
l: d_age
stime: 2024-10-24-18-23
T: 7083
t: textline
a: 20
l: d_gender
stime: 2024-10-24-18-23
T: 7083
t: radio
a: 2
l: d_vr_experience
stime: 2024-10-24-18-23
T: 5541
t: radio
a: 1
l: d_vis_impairment
stime: 2024-10-24-18-23
T: 7426
t: check
a: 
a: 
a: Myopia (Near-Sightedness)
a: 
a: 
a: 
l: joystick_condition
stime: 2024-10-24-18-27
T: 242234
t: info
l: joystick_time
stime: 2024-10-24-18-33
T: 341457
t: textline
a: 163.7
l: joystick_time
stime: 2024-10-24-18-33
T: 341457
t: textline
a: 163.7
l: joystick_score
stime: 2024-10-24-18-33
T: 341457
t: textline
a: 4
l: joystick_feedback
stime: 2024-10-24-18-33
T: 49796
t: info
l: joystick_feedback
stime: 2024-10-24-18-33
T: 49796
t: info
l: j_clarity
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 5
l: joystick_feedback
stime: 2024-10-24-18-33
T: 49796
t: info
l: j_clarity
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 5
l: j_difficulty
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 3
l: joystick_feedback
stime: 2024-10-24-18-33
T: 49796
t: info
l: j_clarity
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 5
l: j_difficulty
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 3
l: j_navigation
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 2
l: joystick_feedback
stime: 2024-10-24-18-33
T: 49796
t: info
l: j_clarity
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 5
l: j_difficulty
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 3
l: j_navigation
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 2
l: j_recall_time
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 2
l: joystick_feedback
stime: 2024-10-24-18-33
T: 49796
t: info
l: j_clarity
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 5
l: j_difficulty
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 3
l: j_navigation
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 2
l: j_recall_time
stime: 2024-10-24-18-33
T: 49796
t: radio
a: 2
l: j_strategy
stime: 2024-10-24-18-33
T: 49796
t: textbox
a: color + shape
l: p_begin
stime: 2024-10-24-18-35
T: 64260
t: info
l: p_begin
stime: 2024-10-24-18-35
T: 64260
t: info
l: p_q1
stime: 2024-10-24-18-35
T: 64260
t: range
a: 5
s: 5
l: p_begin
stime: 2024-10-24-18-35
T: 64260
t: info
l: p_q1
stime: 2024-10-24-18-35
T: 64260
t: range
a: 5
s: 5
l: p_q2
stime: 2024-10-24-18-35
T: 64260
t: range
a: 6
