participant,psy_group,d_age_1,d_gender_1,d_gender_other,d_vr_experience_1,d_vis_impairment_1,d_vis_impairment_2,d_vis_impairment_3,d_vis_impairment_4,d_vis_impairment_5,d_vis_impairment_6,d_vis_impairment_other_6,walking_time_1,walking_score_1,joystick_time_1,joystick_score_1,j_clarity_1,j_difficulty_1,j_navigation_1,j_recall_time_1,j_strategy_1,w_clarity_1,w_difficulty_1,w_navigation_1,w_memory_time_1,w_strategy_1,p_q1_1,p_q2_1,p_q3_1,p_q4_1,p_q5_1,p_q6_1,p_q7_1,p_q8_1,p_q9_1,p_q10_1,p_q11_1,presence_overall_1,v_questions_1,v_questions_2,v_questions_3,v_questions_4,v_questions_5,v_questions_6,v_questions_7,v_questions_8,v_questions_9,v_questions_10,v_questions_11,v_questions_12,v_questions_13,v_questions_14,v_questions_15,CLIENT_start,TIME_start,TIME_end,TIME_total
s.51e35d64-a561-4e94-883b-96c5ce02bc41.txt,2,19,2,"",2,0,1,1,0,0,0,"","","",132.1,0,4,2,2,1,Since there are only 4 objects I just directly remembered the locations of the objects.,"","","","","",3,3,1,2,3,2,4,2,3,5,6,3.09,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2024-09-23-22-02,2024-10-23-18-32,2024-10-23-18-51,19
s.7bd794aa-37ed-41d2-8deb-c564d10f4ed2.txt,1,20,2,"",1,0,0,0,0,0,0,"",45.37,4,"","","","","","","",5,2,4,2,"Relative to centre of the room and the direction i am facing towards, I tried to memorise the positions of the objects. ALso, by taking multiple walks around the room, I tried to develop a cognitive map of where things are. One more thing I made use of was memorising the position of objects with respect to other objects - this helped in easier navigation.",6,6,5,5,7,7,5,6,5,6,6,5.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-23-22-25,2024-10-23-18-55,2024-10-23-19-10,15
s.e44bc3fb-2d1c-4497-9c8e-a6130ccd4806.txt,2,18,2,"",2,0,0,0,1,0,0,"","","",107.3,2,4,3,4,2,i didt knew that i have to remember the places where the objects were placed.,"","","","","",7,2,5,4,7,5,6,7,7,6,6,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-23-21-26,2024-10-23-17-56,2024-10-23-18-10,14
s.32285bdb-151e-4e9b-8956-b1fa9566d091.txt,1,20,2,"",1,0,0,0,0,0,0,"",64.07,4,"","","","","","","",5,2,4,2,remembering the colour in order first then the shapes,6,7,6,7,7,6,7,7,7,6,6,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-24-22-40,2024-10-24-19-10,2024-10-24-19-24,14
s.fcd386b6-ab9e-4c58-897b-06c180f66b72.txt,2,20,2,"",2,0,0,1,0,0,0,"","","",135.7,2,5,4,2,1,I used the color of object and its shape and I tried to memorise them based on the point of reference i.e my position,"","","","","",6,5,5,7,7,6,5,6,5,7,7,6.0,2,3,1,1,1,0,0,2,1,3,0,3,3,1,0,2024-09-23-20-17,2024-10-23-16-47,2024-10-23-17-02,15
s.0bf02812-4571-4384-b09f-a672e54a9d1a.txt,2,20,2,"",1,0,0,1,0,0,0,"","","",112.01,3,5,4,4,2,"With respect to the brown square on the wall, i remembered the orientations of the objects placed on each table.","","","","","",7,6,6,7,7,7,7,6,7,7,6,6.64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024-09-24-20-47,2024-10-24-17-17,2024-10-24-17-31,14
s.e976e685-fa1c-4b7d-b5bf-76ed5911f857.txt,2,20,2,"",1,0,0,1,0,0,0,"","","",163.7,4,5,3,2,2,color + shape,"","","","","",5,6,3,5,6,6,5,6,5,5,6,5.27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024-09-24-21-52,2024-10-24-18-22,2024-10-24-18-35,13
s.9cb05d9f-b6c1-41ca-b415-f3e3a8b2b0b8.txt,2,20,2,"",1,0,0,1,0,0,0,"","","",61.31,0,5,5,3,2,"I started with one table and memorised the objects from that table in counter-clockwise order around the room, by the colour and shape: red box, blue box, blue pyramid, green pyramid.","","","","","",6,5,5,5,7,7,7,7,6,7,6,6.18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-09-24-22-57,2024-10-24-19-27,2024-10-24-19-44,17
s.7058adb7-9caa-47e8-9d1b-61aca13942fe.txt,1,19,2,"",2,0,0,0,0,0,0,"",50.43,4,"","","","","","","",5,2,4,2,The strategy was picking upon common stuff. For me same objects were place diagonally so i remembered the colors only,7,4,6,5,7,7,6,7,7,6,5,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-23-22-58,2024-10-23-19-28,2024-10-23-19-38,10
s.47be864e-0959-496d-af58-854ecdfdf4bb.txt,1,20,2,"",2,0,0,0,0,0,0,"",47.67,4,"","","","","","","",4,2,3,2,I first started mapping the colours with the four coordinates. In my case there were three cubes. So it was easy for me to remember them. and the objects in total were also very less. So i was able to distinguish them easily.,6,3,5,4,5,5,5,5,5,6,7,5.09,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2024-09-23-23-14,2024-10-23-19-44,2024-10-23-19-55,11
