participant,d_age,d_gender,d_vr_experience,d_vis_impairment,walking_condition,walking_time,walking_score,joystick_condition,joystick_time,joystick_score,joystick_feedback,j_clarity,j_difficulty,j_navigation,j_recall_time,j_strategy,walking_feedback,w_clarity,w_difficulty,w_navigation,w_memory_time,w_strategy,p_begin,p_q1,p_q2,p_q3,p_q4,p_q5,p_q6,p_q7,p_q8,p_q9,p_q10,p_q11,presence_overall,v_begin,v_questions,INFOSCREEN,CLIENT_start,TIME_start,TIME_end,TIME_total
s.51e35d64-a561-4e94-883b-96c5ce02bc41.txt,14082,14082,14750,16670,"","","",73996,763408,763408,99347,99347,99347,99347,99347,99347,"","","","","","",129936,129936,129936,129936,129936,129936,129936,129936,129936,129936,129936,129936,"",50201,50201,0,2024-09-23-22-02,2024-10-23-18-32,2024-10-23-18-51,19,2
s.7bd794aa-37ed-41d2-8deb-c564d10f4ed2.txt,12169,12169,7311,12330,551634,21223,21223,"","","","","","","","","",177085,177085,177085,177085,177085,177085,96442,96442,96442,96442,96442,96442,96442,96442,96442,96442,96442,96442,"",30721,30721,0,2024-09-23-22-25,2024-10-23-18-55,2024-10-23-19-10,15,1
s.e44bc3fb-2d1c-4497-9c8e-a6130ccd4806.txt,11738,11738,11172,11847,"","","",378686,141104,141104,104125,104125,104125,104125,104125,104125,"","","","","","",132844,132844,132844,132844,132844,132844,132844,132844,132844,132844,132844,132844,"",37193,37193,0,2024-09-23-21-26,2024-10-23-17-56,2024-10-23-18-10,14,2
s.32285bdb-151e-4e9b-8956-b1fa9566d091.txt,4755,4755,2150,1420,522852,14802,14802,"","","","","","","","","",124143,124143,124143,124143,124143,124143,118930,118930,118930,118930,118930,118930,118930,118930,118930,118930,118930,118930,"",56078,56078,0,2024-09-24-22-40,2024-10-24-19-10,2024-10-24-19-24,14,1
s.fcd386b6-ab9e-4c58-897b-06c180f66b72.txt,11337,11337,8651,11486,"","","",227224,314774,314774,110829,110829,110829,110829,110829,110829,"","","","","","",130963,130963,130963,130963,130963,130963,130963,130963,130963,130963,130963,130963,"",54034,54034,0,2024-09-23-20-17,2024-10-23-16-47,2024-10-23-17-02,15,2
s.0bf02812-4571-4384-b09f-a672e54a9d1a.txt,11714,11714,9010,9946,"","","",543043,17733,17733,88154,88154,88154,88154,88154,88154,"","","","","","",95797,95797,95797,95797,95797,95797,95797,95797,95797,95797,95797,95797,"",41199,41199,0,2024-09-24-20-47,2024-10-24-17-17,2024-10-24-17-31,14,2
s.e976e685-fa1c-4b7d-b5bf-76ed5911f857.txt,7083,7083,5541,7426,"","","",242234,341457,341457,49796,49796,49796,49796,49796,49796,"","","","","","",64260,64260,64260,64260,64260,64260,64260,64260,64260,64260,64260,64260,"",28912,28912,0,2024-09-24-21-52,2024-10-24-18-22,2024-10-24-18-35,13,2
s.9cb05d9f-b6c1-41ca-b415-f3e3a8b2b0b8.txt,8966,8966,19608,17005,"","","",564578,19671,19671,147383,147383,147383,147383,147383,147383,"","","","","","",168679,168679,168679,168679,168679,168679,168679,168679,168679,168679,168679,168679,"",62671,62671,0,2024-09-24-22-57,2024-10-24-19-27,2024-10-24-19-44,17,2
s.7058adb7-9caa-47e8-9d1b-61aca13942fe.txt,18009,18009,4584,4676,404544,12773,12773,"","","","","","","","","",70230,70230,70230,70230,70230,70230,62526,62526,62526,62526,62526,62526,62526,62526,62526,62526,62526,62526,"",20986,20986,0,2024-09-23-22-58,2024-10-23-19-28,2024-10-23-19-38,10,1
s.47be864e-0959-496d-af58-854ecdfdf4bb.txt,8409,8409,8627,11653,356777,47822,47822,"","","","","","","","","",139689,139689,139689,139689,139689,139689,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,80624,"",40327,40327,0,2024-09-23-23-14,2024-10-23-19-44,2024-10-23-19-55,11,1
