version: 3.4.6
server-time: 2024-11-05-18-36
client-time: 2024-10-05-23-06
user_agent: mozilla/5.0 (x11; ubuntu; linux x86_64; rv:131.0) gecko/20100101 firefox/131.0
screen_width: 1920
screen_height: 1080
html_width: 1920
html_height: 2494
user_time: 2024-10-05-23-06
T: 0
l: psy_group
stime: 2024-11-05-18-36
t: set
a: 2
l: d_age
stime: 2024-11-05-18-36
T: 8091
t: textline
a: 20
l: d_age
stime: 2024-11-05-18-36
T: 8091
t: textline
a: 20
l: d_gender
stime: 2024-11-05-18-36
T: 8091
t: radio
a: 2
l: d_vr_experience
stime: 2024-11-05-18-37
T: 12111
t: radio
a: 3
l: d_vis_impairment
stime: 2024-11-05-18-37
T: 18103
t: check
a: 
a: 
a: Myopia (Near-Sightedness)
a: 
a: 
a: 
l: joystick_condition
stime: 2024-11-05-18-44
T: 426672
t: info
l: joystick_time
stime: 2024-11-05-18-44
T: 6870
t: textline
a: 48.77
l: joystick_time
stime: 2024-11-05-18-44
T: 6870
t: textline
a: 48.77
l: joystick_score
stime: 2024-11-05-18-44
T: 6870
t: textline
a: 0
l: joystick_feedback
stime: 2024-11-05-18-46
T: 82824
t: info
l: joystick_feedback
stime: 2024-11-05-18-46
T: 82824
t: info
l: j_clarity
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 4
l: joystick_feedback
stime: 2024-11-05-18-46
T: 82824
t: info
l: j_clarity
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 4
l: j_difficulty
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 5
l: joystick_feedback
stime: 2024-11-05-18-46
T: 82824
t: info
l: j_clarity
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 4
l: j_difficulty
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 5
l: j_navigation
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 3
l: joystick_feedback
stime: 2024-11-05-18-46
T: 82824
t: info
l: j_clarity
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 4
l: j_difficulty
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 5
l: j_navigation
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 3
l: j_recall_time
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 2
l: joystick_feedback
stime: 2024-11-05-18-46
T: 82824
t: info
l: j_clarity
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 4
l: j_difficulty
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 5
l: j_navigation
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 3
l: j_recall_time
stime: 2024-11-05-18-46
T: 82824
t: radio
a: 2
l: j_strategy
stime: 2024-11-05-18-46
T: 82824
t: textbox
a: repetation
l: p_begin
stime: 2024-11-05-18-47
T: 83774
t: info
l: p_begin
stime: 2024-11-05-18-47
T: 83774
t: info
l: p_q1
stime: 2024-11-05-18-47
T: 83774
t: range
a: 5
s: 5
l: p_begin
stime: 2024-11-05-18-47
T: 83774
t: info
l: p_q1
stime: 2024-11-05-18-47
T: 83774
t: range
a: 5
s: 5
l: p_q2
stime: 2024-11-05-18-47
T: 83774
t: range
a: 3
s: 3
l: p_begin
stime: 2024-11-05-18-47
T: 83774
t: info
l: p_q1
stime: 2024-11-05-18-47
T: 83774
t: range
a: 5
s: 5
l: p_q2
stime: 2024-11-05-18-47
T: 83774
t: range
a: 3
s: 3
l: p_q3
stime: 2024-11-05-18-47
T: 83774
t: range
a: 4
s: 4
l: p_begin
stime: 2024-11-05-18-47
T: 83774
t: info
l: p_q1
stime: 2024-11-05-18-47
T: 83774
t: range
a: 5
s: 5
l: p_q2
stime: 2024-11-05-18-47
T: 83774
t: range
a: 3
s: 3
l: p_q3
stime: 2024-11-05-18-47
T: 83774
t: range
a: 4
s: 4
l: p_q4
stime: 2024-11-05-18-47
T: 83774
t: range
a: 3
s: 3
l: p_begin
stime: 2024-11-05-18-47
T: 83774
t: info
l: p_q1
stime: 2024-11-05-18-47
T: 83774
t: range
a: 5
s: 5
l: p_q2
stime: 2024-11-05-18-47
T: 83774
t: range
a: 3
s: 3
l: p_q3
stime: 2024-11-05-18-47
T: 83774
t: range
a: 4
s: 4
l: p_q4
stime: 2024-11-05-18-47
T: 83774
t: range
a: 3
s: 3
l: p_q5
stime: 2024-11-05-18-47
T: 83774
t: range
a: 6
s: 6
l: p_begin
stime: 2024-11-05-18-47
T: 83774
t: info
l: p_q1
stime: 2024-11-05-18-47
T: 83774
t: range
a: 5
s: 5
l: p_q2
stime: 2024-11-05-18-47
T: 83774
t: range
a: 3
s: 3
l: p_q3
stime: 2024-11-05-18-47
T: 83774
t: range
a: 4
s: 4
l: p_q4
stime: 2024-11-05-18-47
T: 83774
t: range
a: 3
s: 3
l: p_q5
stime: 2024-11-05-18-47
T: 83774
t: range
a: 6
s: 6
l: p_q6
stime: 2024-11-05-18-47
T: 83774
t: range
a: 6
s: 6
l: p_begin
stime: 2024-11-05-18-47
T: 83774
t: info
l: p_q1
stime: 2024-11-05-18-47
T: 83774
t: range
a: 5
s: 5
l: p_q2
stime: 2024-11-05-18-47
T: 83774
t: range
a: 3
s: 3
l: p_q3
stime: 2024-11-05-18-47
T: 83774
t: range
a: 4
s: 4
l: p_q4
stime: 2024-11-05-18-47
T: 83774
t: range
a: 3
s: 3
l: p_q5
stime: 2024-11-05-18-47
T: 83774
