version: 3.4.6
server-time: 2024-10-24-16-36
client-time: 2024-09-24-20-06
user_agent: mozilla/5.0 (x11; linux x86_64; rv:131.0) gecko/20100101 firefox/131.0
screen_width: 1440
screen_height: 900
html_width: 1440
html_height: 2476
user_time: 2024-09-24-20-06
T: 0
l: psy_group
stime: 2024-10-24-16-36
t: set
a: 1
l: d_age
stime: 2024-10-24-16-36
T: 10371
t: textline
a: 19
l: d_age
stime: 2024-10-24-16-36
T: 10371
t: textline
a: 19
l: d_gender
stime: 2024-10-24-16-36
T: 10371
t: radio
a: 2
l: d_vr_experience
stime: 2024-10-24-16-37
T: 6531
t: radio
a: 2
l: d_vis_impairment
stime: 2024-10-24-16-37
T: 23197
t: check
a: 
a: 
a: 
a: 
a: 
a: 
l: walking_condition
stime: 2024-10-24-16-43
T: 352273
t: info
l: walking_time
stime: 2024-10-24-16-44
T: 55279
t: textline
a: 31.95
l: walking_time
stime: 2024-10-24-16-44
T: 55279
t: textline
a: 31.95
l: walking_score
stime: 2024-10-24-16-44
T: 55279
t: textline
a: 4
l: walking_feedback
stime: 2024-10-24-16-46
T: 117435
t: info
l: walking_feedback
stime: 2024-10-24-16-46
T: 117435
t: info
l: w_clarity
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 5
l: walking_feedback
stime: 2024-10-24-16-46
T: 117435
t: info
l: w_clarity
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 5
l: w_difficulty
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 1
l: walking_feedback
stime: 2024-10-24-16-46
T: 117435
t: info
l: w_clarity
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 5
l: w_difficulty
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 1
l: w_navigation
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 4
l: walking_feedback
stime: 2024-10-24-16-46
T: 117435
t: info
l: w_clarity
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 5
l: w_difficulty
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 1
l: w_navigation
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 4
l: w_memory_time
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 2
l: walking_feedback
stime: 2024-10-24-16-46
T: 117435
t: info
l: w_clarity
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 5
l: w_difficulty
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 1
l: w_navigation
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 4
l: w_memory_time
stime: 2024-10-24-16-46
T: 117435
t: radio
a: 2
l: w_strategy
stime: 2024-10-24-16-46
T: 117435
t: textbox
a: I just remembered the objects sequentially along with their colors and spots
l: p_begin
stime: 2024-10-24-16-47
T: 64847
t: info
l: p_begin
stime: 2024-10-24-16-47
T: 64847
t: info
l: p_q1
stime: 2024-10-24-16-47
T: 64847
t: range
a: 7
s: 7
l: p_begin
stime: 2024-10-24-16-47
T: 64847
t: info
l: p_q1
stime: 2024-10-24-16-47
T: 64847
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_begin
stime: 2024-10-24-16-47
T: 64847
t: info
l: p_q1
stime: 2024-10-24-16-47
T: 64847
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q3
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_begin
stime: 2024-10-24-16-47
T: 64847
t: info
l: p_q1
stime: 2024-10-24-16-47
T: 64847
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q3
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q4
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_begin
stime: 2024-10-24-16-47
T: 64847
t: info
l: p_q1
stime: 2024-10-24-16-47
T: 64847
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q3
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q4
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q5
stime: 2024-10-24-16-47
T: 64847
t: range
a: 6
s: 6
l: p_begin
stime: 2024-10-24-16-47
T: 64847
t: info
l: p_q1
stime: 2024-10-24-16-47
T: 64847
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q3
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q4
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q5
stime: 2024-10-24-16-47
T: 64847
t: range
a: 6
s: 6
l: p_q6
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_begin
stime: 2024-10-24-16-47
T: 64847
t: info
l: p_q1
stime: 2024-10-24-16-47
T: 64847
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q3
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q4
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q5
stime: 2024-10-24-16-47
T: 64847
t: range
a: 6
s: 6
l: p_q6
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q7
stime: 2024-10-24-16-47
T: 64847
t: range
a: 7
s: 7
l: p_begin
stime: 2024-10-24-16-47
T: 64847
t: info
l: p_q1
stime: 2024-10-24-16-47
T: 64847
t: range
a: 7
s: 7
l: p_q2
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q3
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
s: 5
l: p_q4
stime: 2024-10-24-16-47
T: 64847
t: range
a: 5
