version: 3.4.6
server-time: 2024-10-24-20-11
client-time: 2024-09-24-23-41
user_agent: mozilla/5.0 (x11; linux x86_64; rv:131.0) gecko/20100101 firefox/131.0
screen_width: 1760
screen_height: 1100
html_width: 1760
html_height: 2451
user_time: 2024-09-24-23-41
T: 0
l: psy_group
stime: 2024-10-24-20-11
t: set
a: 1
l: d_age
stime: 2024-10-24-20-11
T: 7636
t: textline
a: 20
l: d_age
stime: 2024-10-24-20-11
T: 7636
t: textline
a: 20
l: d_gender
stime: 2024-10-24-20-11
T: 7636
t: radio
a: 2
l: d_vr_experience
stime: 2024-10-24-20-11
T: 4051
t: radio
a: 2
l: d_vis_impairment
stime: 2024-10-24-20-11
T: 3502
t: check
a: 
a: 
a: Myopia (Near-Sightedness)
a: 
a: 
a: 
l: walking_condition
stime: 2024-10-24-20-19
T: 472980
t: info
l: walking_time
stime: 2024-10-24-20-19
T: 12026
t: textline
a: 23.64
l: walking_time
stime: 2024-10-24-20-19
T: 12026
t: textline
a: 23.64
l: walking_score
stime: 2024-10-24-20-19
T: 12026
t: textline
a: 4
l: walking_feedback
stime: 2024-10-24-20-23
T: 194861
t: info
l: walking_feedback
stime: 2024-10-24-20-23
T: 194861
t: info
l: w_clarity
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 5
l: walking_feedback
stime: 2024-10-24-20-23
T: 194861
t: info
l: w_clarity
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 5
l: w_difficulty
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 1
l: walking_feedback
stime: 2024-10-24-20-23
T: 194861
t: info
l: w_clarity
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 5
l: w_difficulty
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 1
l: w_navigation
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 2
l: walking_feedback
stime: 2024-10-24-20-23
T: 194861
t: info
l: w_clarity
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 5
l: w_difficulty
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 1
l: w_navigation
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 2
l: w_memory_time
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 3
l: walking_feedback
stime: 2024-10-24-20-23
T: 194861
t: info
l: w_clarity
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 5
l: w_difficulty
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 1
l: w_navigation
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 2
l: w_memory_time
stime: 2024-10-24-20-23
T: 194861
t: radio
a: 3
l: w_strategy
stime: 2024-10-24-20-23
T: 194861
t: textbox
a: Pointing to the objects and remembering the order(Green Cube, Blue Cube, Yellow Cube and Yellow Pyramid) and revising it 3-5 times.
l: p_begin
stime: 2024-10-24-20-24
T: 96223
t: info
l: p_begin
stime: 2024-10-24-20-24
T: 96223
t: info
l: p_q1
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_begin
stime: 2024-10-24-20-24
T: 96223
t: info
l: p_q1
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q2
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_begin
stime: 2024-10-24-20-24
T: 96223
t: info
l: p_q1
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q2
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q3
stime: 2024-10-24-20-24
T: 96223
t: range
a: 7
s: 7
l: p_begin
stime: 2024-10-24-20-24
T: 96223
t: info
l: p_q1
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q2
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q3
stime: 2024-10-24-20-24
T: 96223
t: range
a: 7
s: 7
l: p_q4
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_begin
stime: 2024-10-24-20-24
T: 96223
t: info
l: p_q1
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q2
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q3
stime: 2024-10-24-20-24
T: 96223
t: range
a: 7
s: 7
l: p_q4
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q5
stime: 2024-10-24-20-24
T: 96223
t: range
a: 7
s: 7
l: p_begin
stime: 2024-10-24-20-24
T: 96223
t: info
l: p_q1
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q2
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q3
stime: 2024-10-24-20-24
T: 96223
t: range
a: 7
s: 7
l: p_q4
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q5
stime: 2024-10-24-20-24
T: 96223
t: range
a: 7
s: 7
l: p_q6
stime: 2024-10-24-20-24
T: 96223
t: range
a: 7
s: 7
l: p_begin
stime: 2024-10-24-20-24
T: 96223
t: info
l: p_q1
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q2
stime: 2024-10-24-20-24
T: 96223
t: range
a: 6
s: 6
l: p_q3
stime: 2024-10-24-20-24
T: 96223
t: range
a: 7
s: 7
l: p_q4
