version: 3.4.6
server-time: 2024-11-05-17-35
client-time: 2024-10-05-22-05
user_agent: mozilla/5.0 (x11; ubuntu; linux x86_64; rv:131.0) gecko/20100101 firefox/131.0
screen_width: 1920
screen_height: 1080
html_width: 1920
html_height: 2494
user_time: 2024-10-05-22-05
T: 0
l: psy_group
stime: 2024-11-05-17-35
t: set
a: 1
l: d_age
stime: 2024-11-05-17-35
T: 5411
t: textline
a: 18
l: d_age
stime: 2024-11-05-17-35
T: 5411
t: textline
a: 18
l: d_gender
stime: 2024-11-05-17-35
T: 5411
t: radio
a: 1
l: d_vr_experience
stime: 2024-11-05-17-35
T: 3064
t: radio
a: 3
l: d_vis_impairment
stime: 2024-11-05-17-35
T: 2316
t: check
a: 
a: 
a: 
a: 
a: 
a: 
l: walking_condition
stime: 2024-11-05-17-40
T: 331671
t: info
l: walking_time
stime: 2024-11-05-17-43
T: 150281
t: textline
a: 39.92
l: walking_time
stime: 2024-11-05-17-43
T: 150281
t: textline
a: 39.92
l: walking_score
stime: 2024-11-05-17-43
T: 150281
t: textline
a: 4
l: walking_feedback
stime: 2024-11-05-17-44
T: 80004
t: info
l: walking_feedback
stime: 2024-11-05-17-44
T: 80004
t: info
l: w_clarity
stime: 2024-11-05-17-44
T: 80004
t: radio
a: 5
l: walking_feedback
stime: 2024-11-05-17-44
T: 80004
t: info
l: w_clarity
stime: 2024-11-05-17-44
T: 80004
t: radio
a: 5
l: w_difficulty
stime: 2024-11-05-17-44
T: 80004
t: radio
a: 1
l: walking_feedback
stime: 2024-11-05-17-44
T: 80004
t: info
l: w_clarity
stime: 2024-11-05-17-44
T: 80004
t: radio
a: 5
l: w_difficulty
stime: 2024-11-05-17-44
T: 80004
t: radio
a: 1
l: w_navigation
stime: 2024-11-05-17-44
T: 80004
t: radio
a: 4
l: walking_feedback
stime: 2024-11-05-17-44
T: 80004
t: info
l: w_clarity
stime: 2024-11-05-17-44
T: 80004
t: radio
a: 5
l: w_difficulty
stime: 2024-11-05-17-44
T: 80004
t: radio
a: 1
l: w_navigation
stime: 2024-11-05-17-44
T: 80004
t: radio
a: 4
l: w_memory_time
stime: 2024-11-05-17-44
T: 80004
t: radio
a: 2
l: walking_feedback
stime: 2024-11-05-17-44
T: 80004
t: info
l: w_clarity
stime: 2024-11-05-17-44
T: 80004
t: radio
a: 5
